date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
02:17:11	146/146	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2012%20Jun%202020%2002:17:11%20GMT	https://demo.dashboardpack.com/robots.txt		(from )
02:17:12	458906/458906	---MCZ	200	added ('OK')	text/html	etag:W/%225ecbaba0-7009a%22	https://demo.dashboardpack.com/architectui-html-pro/	E:/ArchitectUI%20HTML/ArchitectUI%20HTML/demo.dashboardpack.com/architectui-html-pro/index.html	(from )
02:17:14	21793/21793	---M--	200	added ('OK')	image/jpeg	etag:%225ecbaba0-5521%22	https://demo.dashboardpack.com/architectui-html-pro/assets/images/dropdown-header/abstract3.jpg	E:/ArchitectUI%20HTML/ArchitectUI%20HTML/demo.dashboardpack.com/architectui-html-pro/assets/images/dropdown-header/abstract3.jpg	(from https://demo.dashboardpack.com/architectui-html-pro/)
02:17:14	12345/12345	---M--	200	added ('OK')	image/jpeg	etag:%225ecbaba0-3039%22	https://demo.dashboardpack.com/architectui-html-pro/assets/images/dropdown-header/abstract4.jpg	E:/ArchitectUI%20HTML/ArchitectUI%20HTML/demo.dashboardpack.com/architectui-html-pro/assets/images/dropdown-header/abstract4.jpg	(from https://demo.dashboardpack.com/architectui-html-pro/)
02:17:15	27386/27386	---M--	200	added ('OK')	image/jpeg	etag:%225ecbaba0-6afa%22	https://demo.dashboardpack.com/architectui-html-pro/assets/images/dropdown-header/city3.jpg	E:/ArchitectUI%20HTML/ArchitectUI%20HTML/demo.dashboardpack.com/architectui-html-pro/assets/images/dropdown-header/city3.jpg	(from https://demo.dashboardpack.com/architectui-html-pro/)
02:17:15	3374/3374	---M--	200	added ('OK')	image/jpeg	etag:%225ecbaba0-d2e%22	https://demo.dashboardpack.com/architectui-html-pro/assets/images/avatars/1.jpg	E:/ArchitectUI%20HTML/ArchitectUI%20HTML/demo.dashboardpack.com/architectui-html-pro/assets/images/avatars/1.jpg	(from https://demo.dashboardpack.com/architectui-html-pro/)
02:17:16	3096/3096	---M--	200	added ('OK')	image/jpeg	etag:%225ecbaba0-c18%22	https://demo.dashboardpack.com/architectui-html-pro/assets/images/avatars/2.jpg	E:/ArchitectUI%20HTML/ArchitectUI%20HTML/demo.dashboardpack.com/architectui-html-pro/assets/images/avatars/2.jpg	(from https://demo.dashboardpack.com/architectui-html-pro/)
02:17:16	2709/2709	---M--	200	added ('OK')	image/jpeg	etag:%225ecbaba0-a95%22	https://demo.dashboardpack.com/architectui-html-pro/assets/images/avatars/3.jpg	E:/ArchitectUI%20HTML/ArchitectUI%20HTML/demo.dashboardpack.com/architectui-html-pro/assets/images/avatars/3.jpg	(from https://demo.dashboardpack.com/architectui-html-pro/)
02:17:16	3099/3099	---M--	200	added ('OK')	image/jpeg	etag:%225ecbaba0-c1b%22	https://demo.dashboardpack.com/architectui-html-pro/assets/images/avatars/4.jpg	E:/ArchitectUI%20HTML/ArchitectUI%20HTML/demo.dashboardpack.com/architectui-html-pro/assets/images/avatars/4.jpg	(from https://demo.dashboardpack.com/architectui-html-pro/)
02:17:16	3252/3252	---M--	200	added ('OK')	image/jpeg	etag:%225ecbaba0-cb4%22	https://demo.dashboardpack.com/architectui-html-pro/assets/images/avatars/5.jpg	E:/ArchitectUI%20HTML/ArchitectUI%20HTML/demo.dashboardpack.com/architectui-html-pro/assets/images/avatars/5.jpg	(from https://demo.dashboardpack.com/architectui-html-pro/)
